index,paper_run_id,event_time_utc,entered_at_utc,settled_at_utc,market_start_utc,market_slug,selected_outcome,entry_price,stake_usd,size_shares,settlement_value_usd,pnl_usd,cumulative_pnl_usd
31,cab277cf-1bbb-40cf-b242-3f15ab14a5bb,2026-07-05 04:00:30,2026-07-05 03:49:37,2026-07-05 04:00:30,2026-07-05 03:50:00,eth-updown-5m-1783223400,Up,0.51,6.0093,11.78294118,0,-6.0093,27.92349664
32,340abcc9-183e-473d-9104-cc5583332b4f,2026-07-05 04:05:38,2026-07-05 03:54:36,2026-07-05 04:05:38,2026-07-05 03:55:00,eth-updown-5m-1783223700,Up,0.51,6.0093,11.78294118,0,-6.0093,21.91419664
33,9cba7014-6e3a-4688-8eaf-267138fd9ca1,2026-07-05 04:10:11,2026-07-05 03:59:36,2026-07-05 04:10:11,2026-07-05 04:00:00,eth-updown-5m-1783224000,Up,0.51,6.0093,11.78294118,11.78294118,5.77364118,27.68783782
34,c1f46481-db6e-47e0-9817-63b60657f421,2026-07-05 04:15:39,2026-07-05 04:04:37,2026-07-05 04:15:39,2026-07-05 04:05:00,eth-updown-5m-1783224300,Up,0.51,6.0093,11.78294118,11.78294118,5.77364118,33.461479
35,8c22e239-9e68-4aac-9713-1aace9c4eb89,2026-07-05 04:20:22,2026-07-05 04:09:36,2026-07-05 04:20:22,2026-07-05 04:10:00,eth-updown-5m-1783224600,Up,0.46,6.0093,13.06369565,13.06369565,7.05439565,40.51587465
36,f07ef2e6-5cb1-433c-97db-48bac021f8ad,2026-07-05 09:55:33,2026-07-05 09:44:37,2026-07-05 09:55:33,2026-07-05 09:45:00,eth-updown-5m-1783244700,Up,0.56992413,6.00930003,10.54403509,10.54403509,4.53473506,45.05060971
37,a2914937-11af-44d0-a046-747c9a14699f,2026-07-05 10:00:07,2026-07-05 09:49:34,2026-07-05 10:00:07,2026-07-05 09:50:00,eth-updown-5m-1783245000,Up,0.54934181,6.0093,10.93909091,10.93909091,4.92979091,49.98040062
38,91667dc5-c8d8-4e55-945c-0cc942eff934,2026-07-05 10:05:22,2026-07-05 09:54:33,2026-07-05 10:05:22,2026-07-05 09:55:00,eth-updown-5m-1783245300,Up,0.52562656,6.00930003,11.43264151,11.43264151,5.42334148,55.4037421
39,643d311a-d6cd-428e-97cf-fb30ff278a0f,2026-07-06 09:33:11,2026-07-06 09:24:34,2026-07-06 09:33:11,2026-07-06 09:25:00,eth-updown-5m-1783329900,Up,0.55,6.0093,10.926,0,-6.0093,49.3944421
40,a943737d-1e93-4699-a69a-64990afcc7ab,2026-07-06 09:39:54,2026-07-06 09:29:36,2026-07-06 09:39:54,2026-07-06 09:30:00,eth-updown-5m-1783330200,Up,0.55,6.0093,10.926,0,-6.0093,43.3851421
41,40b7983f-03f8-4093-90eb-2ea6dfefb686,2026-07-06 09:44:43,2026-07-06 09:34:37,2026-07-06 09:44:43,2026-07-06 09:35:00,eth-updown-5m-1783330500,Up,0.56,6.0093,10.73089286,0,-6.0093,37.3758421
42,7df9030e-7a33-46a2-ba4b-bfe6f173e249,2026-07-06 09:49:53,2026-07-06 09:39:35,2026-07-06 09:49:53,2026-07-06 09:40:00,eth-updown-5m-1783330800,Up,0.55,6.0093,10.926,10.926,4.9167,42.2925421
43,7fcef653-3a72-4b7a-a4c0-82e137dd84c0,2026-07-06 09:54:44,2026-07-06 09:44:38,2026-07-06 09:54:44,2026-07-06 09:45:00,eth-updown-5m-1783331100,Up,0.55,6.0093,10.926,0,-6.0093,36.2832421
44,e8e35d9f-cb56-47e7-8be3-eff021a08e50,2026-07-06 10:00:16,2026-07-06 09:49:37,2026-07-06 10:00:16,2026-07-06 09:50:00,eth-updown-5m-1783331400,Up,0.54044886,6.00930001,11.11909091,11.11909091,5.1097909,41.393033
45,fba7746f-9c60-4a6d-8178-d6b105899299,2026-07-06 10:05:04,2026-07-06 09:54:37,2026-07-06 10:05:04,2026-07-06 09:55:00,eth-updown-5m-1783331700,Up,0.52,6.0093,11.55634615,0,-6.0093,35.383733
46,d04fc611-ec15-42bc-8497-dbe89ec35ad7,2026-07-06 10:09:27,2026-07-06 09:59:38,2026-07-06 10:09:27,2026-07-06 10:00:00,eth-updown-5m-1783332000,Up,0.55,6.0093,10.926,10.926,4.9167,40.300433
47,bde38fed-f025-4011-8203-3e177d61d142,2026-07-06 12:15:07,2026-07-06 12:04:37,2026-07-06 12:15:07,2026-07-06 12:05:00,eth-updown-5m-1783339500,Up,0.55,6.0093,10.926,10.926,4.9167,45.217133
48,627be293-ec30-42bc-8b0e-5cbd74bd9472,2026-07-06 12:19:49,2026-07-06 12:09:37,2026-07-06 12:19:49,2026-07-06 12:10:00,eth-updown-5m-1783339800,Up,0.54,6.0093,11.12833333,11.12833333,5.11903333,50.33616633
49,620ae9c6-063f-4c98-8304-b6178c88b622,2026-07-06 12:24:43,2026-07-06 12:14:36,2026-07-06 12:24:43,2026-07-06 12:15:00,eth-updown-5m-1783340100,Up,0.56,6.0093,10.73089286,10.73089286,4.72159286,55.05775919
50,d84407d9-8f9e-41fa-9407-d64d4dc66839,2026-07-06 12:29:58,2026-07-06 12:19:37,2026-07-06 12:29:58,2026-07-06 12:20:00,eth-updown-5m-1783340400,Up,0.53594206,6.00929997,11.21259259,0,-6.00929997,49.04845922
51,d93dee2f-5338-4e61-998c-5d883b62c13c,2026-07-06 12:34:51,2026-07-06 12:24:36,2026-07-06 12:34:51,2026-07-06 12:25:00,eth-updown-5m-1783340700,Up,0.53,6.0093,11.33830189,11.33830189,5.32900189,54.37746111
52,3291361a-d7a0-47cc-83be-3043ec295504,2026-07-06 12:39:59,2026-07-06 12:29:37,2026-07-06 12:39:59,2026-07-06 12:30:00,eth-updown-5m-1783341000,Up,0.53,6.0093,11.33830189,11.33830189,5.32900189,59.706463
53,d068c050-c111-4466-a304-904250350941,2026-07-06 12:45:09,2026-07-06 12:34:36,2026-07-06 12:45:09,2026-07-06 12:35:00,eth-updown-5m-1783341300,Up,0.51,6.0093,11.78294118,0,-6.0093,53.697163
54,c0ee1db7-e828-48e8-a0fc-056f602ae581,2026-07-06 12:49:51,2026-07-06 12:39:36,2026-07-06 12:49:51,2026-07-06 12:40:00,eth-updown-5m-1783341600,Up,0.54,6.0093,11.12833333,0,-6.0093,47.687863
55,b501d566-98a4-4892-81e1-0ec8fb76ae26,2026-07-06 12:54:39,2026-07-06 12:44:38,2026-07-06 12:54:39,2026-07-06 12:45:00,eth-updown-5m-1783341900,Up,0.54362232,6.00929997,11.05418182,0,-6.00929997,41.67856303
56,63fc757d-f23a-4dc7-ad4b-b50afc5f8d8e,2026-07-06 13:04:51,2026-07-06 12:49:36,2026-07-06 13:04:51,2026-07-06 12:50:00,eth-updown-5m-1783342200,Up,0.55,6.0093,10.926,10.926,4.9167,46.59526303
57,57c48479-a64d-4076-959c-82b955173394,2026-07-06 13:05:24,2026-07-06 12:54:38,2026-07-06 13:05:24,2026-07-06 12:55:00,eth-updown-5m-1783342500,Up,0.51,6.0093,11.78294118,0,-6.0093,40.58596303
58,6413a296-f038-4b00-bfd0-d558d3b26351,2026-07-06 13:09:51,2026-07-06 12:59:36,2026-07-06 13:09:51,2026-07-06 13:00:00,eth-updown-5m-1783342800,Up,0.51541986,6.00929997,11.65903846,0,-6.00929997,34.57666306
59,fbf30bb0-5049-4b87-842e-484461ad78ca,2026-07-06 13:15:03,2026-07-06 13:04:37,2026-07-06 13:15:03,2026-07-06 13:05:00,eth-updown-5m-1783343100,Up,0.55,6.0093,10.926,10.926,4.9167,39.49336306
60,8401aa64-9ad7-4e5d-b29f-7a8518db58cb,2026-07-06 13:19:41,2026-07-06 13:09:36,2026-07-06 13:19:41,2026-07-06 13:10:00,eth-updown-5m-1783343400,Up,0.53798568,6.00930005,11.17,0,-6.00930005,33.48406301
