"asset","offset_seconds","depth","threshold_bps","catalog_equivalent_rows","entries","settled_trades","wins","losses","ties","win_rate_pct","roi_pct_at_0_55","pnl_units_at_0_55","break_even_entry_price","wilson_lower_win_rate_pct","z_score","avg_abs_deviation_bps","avg_signed_deviation_bps","trades_per_day","max_drawdown_units","longest_loss_streak","active_months","profitable_active_months","worst_month_roi_pct_at_0_55","best_month_roi_pct_at_0_55","suitability_at_0_55"
"SOL","30","60","65","2","4499","4429","2405","2024","70","54.3012","-1.2508","-30.95","0.543","52.831","5.725","105.108","-6.7757","24.7198","37","10","7","3","-8.7298","3.1656","reject"
"SOL","30","60","70","2","3872","3814","2061","1753","58","54.0378","-1.7233","-36.7","0.5404","52.4528","4.9872","111.226","-6.7637","21.2747","36","10","7","3","-11.0021","2.4766","reject"
"SOL","30","60","75","2","3341","3293","1785","1508","48","54.2059","-1.4231","-26.15","0.5421","52.5003","4.8271","117.3911","-7.1254","18.3571","31","10","7","3","-9.8158","5.1948","reject"
"SOL","30","60","80","2","2908","2868","1560","1308","40","54.3933","-1.0879","-17.4","0.5439","52.5658","4.7056","123.3248","-8.8532","15.978","26","9","7","1","-8.9532","4.8421","reject"
"SOL","30","60","85","2","2553","2520","1376","1144","33","54.6032","-0.7122","-10","0.546","52.6537","4.6216","128.9999","-8.0424","14.0275","23","9","7","2","-12.2583","4.143","reject"
"SOL","30","60","90","2","2231","2205","1206","999","26","54.6939","-0.5501","-6.75","0.5469","52.6097","4.4082","135.0053","-7.5459","12.2582","18","9","7","3","-12.0185","4.3336","reject"
"SOL","30","60","95","2","1972","1949","1074","875","23","55.1052","0.189","2.05","0.5511","52.8891","4.5076","140.5921","-8.1147","10.8352","17","9","7","3","-11.8654","6.383","reject"
"SOL","30","60","100","2","1740","1720","953","767","20","55.407","0.7315","7","0.5541","53.0484","4.4849","146.3569","-8.5135","9.5604","17","8","7","3","-5.4264","4.7847","reject"
"SOL","30","50","0","1","52403","50456","26373","24083","1947","52.2693","-4.7804","-1377.8","0.5227","51.8333","10.1948","24.3112","-0.5048","287.9286","52","13","7","0","-6.5664","-3.3471","reject"
"SOL","30","50","5","2","43048","41539","21855","19684","1509","52.6132","-4.1875","-991.45","0.5261","52.1328","10.652","29.0475","-0.6259","236.5275","55","12","7","0","-6.4809","-1.8489","reject"
"SOL","30","50","10","2","34395","33260","17653","15607","1135","53.0758","-3.3832","-640","0.5308","52.5391","11.2188","34.4876","-0.8271","188.9835","41","11","7","0","-4.8888","-0.8918","reject"
"SOL","30","50","15","2","27036","26225","14046","12179","811","53.5596","-2.5404","-377.75","0.5356","52.9555","11.5289","40.5029","-1.1529","148.5495","32","11","7","0","-4.2527","-0.5246","reject"
"SOL","30","50","20","2","21292","20700","11164","9536","592","53.9324","-1.8872","-221","0.5393","53.2527","11.3154","46.7321","-1.6367","116.989","32","11","7","1","-3.9968","1.6441","reject"
"SOL","30","50","25","2","16913","16487","8919","7568","426","54.0972","-1.6002","-148.85","0.541","53.3356","10.5217","53.0412","-2.2725","92.9286","30","10","7","1","-3.2291","1.4418","reject"
"SOL","30","50","30","2","13493","13168","7154","6014","325","54.3287","-1.1912","-88.4","0.5433","53.4767","9.9345","59.5369","-2.8164","74.1374","32","10","7","1","-3.1811","1.8148","reject"
"SOL","30","50","35","2","10936","10687","5767","4920","249","53.9628","-1.843","-110.85","0.5396","53.0165","8.1932","65.8862","-3.1413","60.0879","41","10","7","0","-4.1803","-0.2367","reject"
"SOL","30","50","40","2","8929","8740","4748","3992","189","54.3249","-1.2014","-59","0.5432","53.2789","8.0866","72.292","-3.8661","49.0604","39","10","7","3","-5.1247","0.6758","reject"
"SOL","30","50","45","2","7342","7200","3930","3270","142","54.5833","-0.7429","-30","0.5458","53.4311","7.7782","78.7511","-4.6928","40.3407","37","10","7","4","-6.4727","6.1135","reject"
"SOL","30","50","50","2","6135","6021","3287","2734","114","54.5923","-0.7276","-24.55","0.5459","53.3321","7.1267","84.9147","-4.7682","33.7088","33","10","7","3","-7.5582","3.8329","reject"
"SOL","30","50","55","2","5174","5092","2793","2299","82","54.8507","-0.2671","-7.6","0.5485","53.4807","6.9228","90.9555","-5.4263","28.4286","26","10","7","3","-5.5124","2.5114","reject"
"SOL","30","50","60","2","4363","4304","2352","1952","59","54.6468","-0.6334","-15.2","0.5465","53.156","6.0971","97.1782","-6.4952","23.9725","29","10","7","4","-7.444","5.597","reject"
"SOL","30","50","65","2","3688","3641","1990","1651","47","54.6553","-0.6187","-12.55","0.5466","53.0342","5.6181","103.524","-6.3263","20.2637","31","10","7","3","-12.45","6.871","reject"
