rank,asset,offset_seconds,depth,threshold_bps,catalog_equivalent_rows,settled_trades,win_rate_pct,roi_pct_at_0_50,break_even_entry_price,roi_pct_at_0_52,wilson_lower_win_rate_pct,z_score,active_months,profitable_active_months,suitability
94,BTC,30,50,50,2,2959,55.9986,11.9973,0.56,7.6897,54.2034,6.5261,7,7,"research_candidate"
95,SOL,25,20,85,2,581,56.1102,11.9932,0.5611,7.9041,52.0478,2.9456,6,5,"research_candidate"
96,BTC,5,60,50,2,3633,55.9868,11.9736,0.5599,7.6669,54.3671,7.217,7,6,"research_candidate"
97,SOL,15,40,70,2,2435,56.0575,11.9675,0.5606,7.8029,54.0781,5.9782,7,7,"research_candidate"
98,SOL,30,40,90,2,1338,56.0538,11.9645,0.5605,7.7958,53.3808,4.4288,7,6,"research_candidate"
99,BTC,20,50,45,2,3664,55.9771,11.9541,0.5598,7.6482,54.3642,7.236,7,6,"research_candidate"
100,BTC,30,20,35,2,2351,55.9762,11.9524,0.5598,7.6465,53.9614,5.7954,7,6,"research_candidate"
101,SOL,10,30,70,2,1795,56.0446,11.9428,0.5604,7.778,53.7379,5.1219,7,6,"research_candidate"
102,SOL,20,30,75,2,1490,56.0403,11.9284,0.5604,7.7697,53.5077,4.6631,7,6,"research_candidate"
103,SOL,25,20,75,2,856,56.0748,11.9266,0.5607,7.8361,52.7302,3.5546,6,6,"research_candidate"
104,BTC,10,60,50,2,3592,55.9577,11.9154,0.5596,7.6109,54.3287,7.1413,7,6,"research_candidate"
105,ETH,5,30,100,2,638,55.9561,11.9122,0.5596,7.6079,52.0796,3.0089,5,5,"research_candidate"
106,SOL,5,30,65,2,2149,56.0261,11.908,0.5603,7.7424,53.9185,5.587,7,7,"research_candidate"
107,SOL,5,30,70,2,1808,56.0288,11.9061,0.5603,7.7476,53.7304,5.1269,7,6,"research_candidate"
108,ETH,5,10,20,2,6525,55.954,11.8953,0.5595,7.6039,54.7463,9.619,7,7,"research_candidate"
