"asset","offset_seconds","depth","threshold_bps","catalog_equivalent_rows","entries","settled_trades","wins","losses","ties","win_rate_pct","roi_pct_at_0_55","pnl_units_at_0_55","break_even_entry_price","wilson_lower_win_rate_pct","z_score","avg_abs_deviation_bps","avg_signed_deviation_bps","trades_per_day","max_drawdown_units","longest_loss_streak","active_months","profitable_active_months","worst_month_roi_pct_at_0_55","best_month_roi_pct_at_0_55","suitability_at_0_55"
"BTC","10","30","40","2","2811","2811","1577","1234","0","56.101","2.0019","30.95","0.561","54.2594","6.4694","63.1329","-2.3489","15.4451","19","9","7","5","-12.9321","5.6338","watch_only"
"SOL","5","40","70","2","2514","2481","1392","1089","33","56.1064","1.9852","27.45","0.5611","54.1457","6.0832","108.1598","-5.4764","13.8132","14","9","7","4","-4.0553","7.0578","watch_only"
"SOL","5","20","75","2","940","925","519","406","15","56.1081","1.9826","10.25","0.5611","52.8913","3.7154","107.7913","0.9961","5.1648","12","12","7","5","-18.1818","10.5169","watch_only"
"SOL","10","20","55","2","2025","2000","1122","878","25","56.1","1.9753","22","0.561","53.9154","5.456","83.6423","-1.5991","11.1264","21","7","7","5","-8.7533","6.9224","watch_only"
"ETH","10","20","75","2","797","797","447","350","0","56.0853","1.9733","8.65","0.5609","52.6187","3.4359","108.0311","2.3238","4.3791","10","8","6","3","-21.2121","6.9199","watch_only"
"ETH","10","20","80","2","674","674","378","296","0","56.0831","1.9692","7.3","0.5608","52.3123","3.1585","113.6172","2.8642","3.7033","11","7","6","3","-36.7589","10.7955","watch_only"
"ETH","5","10","55","2","774","774","434","340","0","56.0724","1.9497","8.3","0.5607","52.5544","3.3788","79.7453","2.4425","4.2527","13","9","6","3","-32.6599","7.7441","watch_only"
"BTC","5","40","45","2","2948","2948","1653","1295","0","56.0719","1.9489","31.6","0.5607","54.2736","6.5935","71.7128","-3.0797","16.1978","18","9","7","5","-14.2857","8.2536","watch_only"
"SOL","30","40","90","2","1354","1338","750","588","16","56.0538","1.8934","14.1","0.5605","53.3808","4.4288","130.8736","-6.6894","7.4396","13","7","7","3","-9.0909","5.6218","reject"
"SOL","10","30","70","2","1817","1795","1006","789","22","56.0446","1.8762","18.75","0.5604","53.7379","5.1219","105.1559","-5.0105","9.9835","17","9","7","3","-9.0909","6.5049","reject"
"SOL","5","30","70","2","1831","1808","1013","795","23","56.0288","1.847","18.6","0.5603","53.7304","5.1269","105.4569","-3.636","10.0604","16","7","7","3","-11.2051","7.5226","reject"
"SOL","5","30","65","2","2175","2149","1204","945","26","56.0261","1.8433","22.05","0.5603","53.9185","5.587","99.4339","-3.6817","11.9505","20","7","7","5","-3.8898","6.1265","watch_only"
"BTC","30","20","40","2","1746","1746","978","768","0","56.0137","1.8432","17.7","0.5601","53.6748","5.0257","60.1954","-1.493","9.5934","18","9","7","4","-19.1919","11.244","watch_only"
"SOL","10","40","95","2","1213","1196","670","526","17","56.0201","1.8287","12.2","0.5602","53.1921","4.1639","137.0579","-7.381","6.6648","13","6","7","3","-5.4545","6.2389","reject"
"BTC","5","50","45","2","3732","3732","2090","1642","0","56.0021","1.8221","37.4","0.56","54.4042","7.3334","72.9848","-3.8913","20.5055","19","9","7","5","-6.3361","5.0505","watch_only"
"BTC","5","30","35","2","3775","3775","2114","1661","0","56","1.8182","37.75","0.56","54.4112","7.3729","56.9499","-2.3613","20.7418","20","9","7","4","-3.3816","8.9063","watch_only"
"BTC","30","50","50","2","2959","2959","1657","1302","0","55.9986","1.8157","29.55","0.56","54.2034","6.5261","78.4053","-4.3608","16.2582","19","9","7","4","-7.8456","5.419","watch_only"
"SOL","5","20","60","2","1692","1673","937","736","19","56.0072","1.8107","16.85","0.5601","53.6175","4.9141","89.5382","-1.6622","9.2967","18","7","7","2","-6.1364","6.0466","reject"
"SOL","10","30","80","2","1308","1291","723","568","17","56.0031","1.8001","12.95","0.56","53.2815","4.3139","117.0159","-7.3075","7.1868","12","7","7","3","-15.1515","6.0241","reject"
"SOL","5","30","75","2","1569","1550","868","682","19","56","1.7962","15.5","0.56","53.517","4.7244","110.9793","-5.8955","8.6209","20","11","7","5","-14.1414","7.7632","watch_only"
"BTC","5","60","50","2","3633","3633","2034","1599","0","55.9868","1.7942","35.85","0.5599","54.3671","7.217","80.4498","-4.1499","19.9615","18","9","7","5","-11.0251","5.7851","watch_only"
"SOL","10","40","75","2","2117","2093","1172","921","24","55.9962","1.7907","20.85","0.56","53.8605","5.4864","114.3715","-5.3728","11.6319","14","9","7","3","-6.871","6.5789","reject"
"BTC","30","20","35","2","2351","2351","1316","1035","0","55.9762","1.7749","22.95","0.5598","53.9614","5.7954","54.324","-1.5685","12.9176","23","10","7","4","-10.6317","8.2452","watch_only"
"BTC","10","60","50","2","3592","3592","2010","1582","0","55.9577","1.7412","34.4","0.5596","54.3287","7.1413","80.4239","-4.6399","19.7363","17","9","7","5","-13.8756","4.8406","watch_only"
"ETH","5","30","100","2","638","638","357","281","0","55.9561","1.7384","6.1","0.5596","52.0796","3.0089","141.2937","2.6343","3.5055","10","7","5","3","-5.805","5.9289","watch_only"
"ETH","5","10","20","2","6532","6525","3651","2874","7","55.954","1.7327","62.25","0.5595","54.7463","9.619","36.0844","-0.6701","35.8901","22","10","7","6","-1.6942","7.2093","watch_only"
"BTC","10","40","40","2","3786","3786","2118","1668","0","55.9429","1.7145","35.7","0.5594","54.3563","7.3134","64.874","-3.4512","20.8022","18","9","7","5","-7.197","5.645","watch_only"
"SOL","30","40","70","2","2450","2422","1355","1067","28","55.9455","1.6994","22.9","0.5595","53.9604","5.852","107.5015","-5.4785","13.4615","17","9","7","4","-7.6579","5.749","watch_only"
"BTC","10","30","35","2","3758","3758","2102","1656","0","55.934","1.6982","35.1","0.5593","54.3414","7.2754","56.6386","-2.3543","20.6484","19","9","7","3","-3.5061","9.4668","reject"
"BTC","5","60","55","2","3004","3004","1680","1324","0","55.9254","1.6826","27.8","0.5593","54.1435","6.4953","86.3214","-4.9773","16.5055","17","9","7","4","-10.2417","6.5831","watch_only"
"SOL","30","40","85","2","1544","1525","853","672","19","55.9344","1.678","14.25","0.5593","53.4308","4.6349","125.5148","-6.4189","8.4835","13","8","7","3","-9.0909","6.3588","reject"
"SOL","10","40","90","2","1400","1382","773","609","18","55.9334","1.6753","12.9","0.5593","53.303","4.4115","131.1147","-7.2496","7.6923","14","7","7","4","-3.474","5.7662","watch_only"
"ETH","5","20","20","2","10692","10679","5970","4709","13","55.9041","1.6418","96.55","0.559","54.9605","12.2025","39.6669","-1.0626","58.7473","21","11","7","5","-0.9648","11.8106","watch_only"
"ETH","5","40","35","2","7647","7639","4270","3369","8","55.8974","1.6299","68.55","0.559","54.7812","10.3088","65.246","-3.0288","42.0165","26","10","7","5","-1.7593","11.1946","watch_only"
