rank,asset,offset_seconds,depth,threshold_bps,catalog_equivalent_rows,settled_trades,win_rate_pct,roi_pct_at_0_50,break_even_entry_price,roi_pct_at_0_52,wilson_lower_win_rate_pct,z_score,active_months,profitable_active_months,suitability
95,SOL,5,30,55,2,3122,55.8296,11.5117,0.5583,7.3646,54.0815,6.5146,7,7,"research_candidate"
96,BTC,5,60,60,2,2513,55.7501,11.5002,0.5575,7.2117,53.8008,5.765,7,6,"research_candidate"
97,SOL,5,50,90,2,1811,55.8255,11.4924,0.5583,7.3568,53.5284,4.9582,7,7,"research_candidate"
98,ETH,10,20,20,2,10592,55.7496,11.483,0.5575,7.2108,54.8018,11.8347,7,7,"research_candidate"
99,ETH,10,50,45,2,6031,55.7453,11.4811,0.5575,7.2025,54.4885,8.9236,7,7,"research_candidate"
100,BTC,5,40,40,2,3827,55.7356,11.4711,0.5574,7.1838,54.1569,7.0964,7,7,"research_candidate"
101,BTC,30,60,45,2,4391,55.7276,11.4552,0.5573,7.1685,54.2541,7.5908,7,7,"research_candidate"
102,ETH,10,20,85,2,551,55.7169,11.4338,0.5572,7.1478,51.5439,2.6839,5,4,"research_candidate"
103,SOL,5,30,60,2,2560,55.7813,11.433,0.5578,7.2716,53.8501,5.8502,7,7,"research_candidate"
104,BTC,10,60,55,2,2974,55.7162,11.4324,0.5572,7.1466,53.9247,6.2346,7,6,"research_candidate"
105,BTC,10,60,45,2,4410,55.7143,11.4286,0.5571,7.1429,54.2439,7.5895,7,6,"research_candidate"
106,ETH,10,30,30,2,7707,55.7156,11.4193,0.5572,7.1454,54.604,10.0354,7,7,"research_candidate"
107,ETH,30,20,30,2,5372,55.7148,11.4169,0.5571,7.1439,54.3829,8.3772,7,7,"research_candidate"
108,SOL,5,20,50,2,2517,55.7807,11.4162,0.5578,7.2706,53.8331,5.8003,7,6,"research_candidate"
109,SOL,10,30,65,2,2132,55.7692,11.4153,0.5577,7.2485,53.6525,5.3277,7,7,"research_candidate"
110,BTC,30,60,50,2,3549,55.7058,11.4117,0.5571,7.1266,54.0663,6.7983,7,6,"research_candidate"
111,ETH,5,50,35,2,9002,55.7098,11.407,0.5571,7.1343,54.6815,10.8349,7,7,"research_candidate"
112,ETH,5,30,30,2,7762,55.7073,11.4014,0.5571,7.1294,54.5997,10.0565,7,7,"research_candidate"
113,SOL,5,30,100,2,699,55.794,11.3924,0.5579,7.2961,52.0905,3.0637,6,6,"research_candidate"
114,ETH,5,40,30,2,9542,55.7011,11.3891,0.557,7.1175,54.7023,11.1381,7,7,"research_candidate"
115,BTC,10,40,50,2,2336,55.6935,11.387,0.5569,7.1029,53.6713,5.5036,7,6,"research_candidate"
116,BTC,30,30,45,2,2099,55.6932,11.3864,0.5569,7.1023,53.5596,5.2166,7,6,"research_candidate"
117,BTC,30,50,40,2,4620,55.6926,11.3853,0.5569,7.1012,54.2561,7.7386,7,7,"research_candidate"
118,BTC,30,30,50,2,1634,55.6916,11.3831,0.5569,7.0991,53.2724,4.6014,7,6,"research_candidate"
119,SOL,30,30,70,2,1740,55.7471,11.3766,0.5575,7.206,53.4032,4.7946,7,7,"research_candidate"
120,SOL,5,40,75,2,2113,55.7501,11.3764,0.5575,7.2118,53.6238,5.2864,7,7,"research_candidate"
121,BTC,5,30,55,2,1381,55.6843,11.3686,0.5568,7.0852,53.0521,4.2248,7,6,"research_candidate"
122,BTC,30,50,35,2,5948,55.6826,11.3652,0.5568,7.0819,54.4169,8.7652,7,7,"research_candidate"
123,SOL,10,40,100,2,1049,55.7674,11.3615,0.5577,7.245,52.7462,3.7359,7,5,"research_candidate"
124,SOL,5,20,55,2,2036,55.7466,11.3592,0.5575,7.2049,53.5803,5.1859,7,7,"research_candidate"
125,BTC,30,40,40,2,3709,55.6754,11.3508,0.5568,7.068,54.0716,6.9128,7,7,"research_candidate"
