asset,offset_seconds,depth,threshold_bps,catalog_equivalent_rows,entries,settled_trades,wins,losses,ties,win_rate_pct,roi_pct_at_0_50,pnl_units,break_even_entry_price,roi_pct_at_0_52,wilson_lower_win_rate_pct,z_score,avg_abs_deviation_bps,avg_signed_deviation_bps,avg_current_move_bps,trades_per_day,max_drawdown_units,longest_loss_streak,active_months,profitable_active_months,worst_month_roi_pct,best_month_roi_pct,suitability
BTC,25,20,55,2,766,766,414,352,0,54.047,8.094,62,0.5405,3.9365,50.5063,2.2402,78.6893,-2.4286,-0.8764,4.2088,13,12,6,6,3.7037,16.9811,"research_candidate"
BTC,25,20,60,2,636,636,339,297,0,53.3019,6.6038,42,0.533,2.5036,49.4162,1.6654,83.0404,-2.2466,-1.3066,3.4945,12,11,6,6,4.7619,11.1111,"watch_only"
BTC,25,20,65,2,510,510,277,233,0,54.3137,8.6275,44,0.5431,4.4495,49.9742,1.9484,88.1335,-2.3169,-1.2725,2.8022,10,8,5,5,5.8296,21.2121,"watch_only"
BTC,25,20,70,2,405,405,226,179,0,55.8025,11.6049,47,0.558,7.3124,50.9337,2.3354,93.5264,-1.7737,-0.3922,2.2253,7,6,5,5,10.3825,18.1818,"insufficient_sample"
BTC,25,20,75,2,311,311,175,136,0,56.2701,12.5402,39,0.5627,8.2117,50.7136,2.2115,99.9374,-0.0146,0.5527,1.7088,9,6,4,4,7.6923,25.8065,"insufficient_sample"
BTC,25,20,80,2,252,252,141,111,0,55.9524,11.9048,30,0.5595,7.6007,49.779,1.8898,105.1365,3.4169,0.3456,1.3846,7,5,4,4,5.6911,26.9231,"insufficient_sample"
BTC,25,20,85,2,193,193,105,88,0,54.4041,8.8083,17,0.544,4.6234,47.3598,1.2237,112.1402,4.838,-0.6972,1.0604,13,5,4,3,-5.3763,30.4348,"insufficient_sample"
BTC,25,20,90,2,153,153,86,67,0,56.2092,12.4183,19,0.5621,8.0945,48.2909,1.5361,118.6589,-1.7627,0.4488,0.8407,9,7,2,2,1.2658,20,"insufficient_sample"
BTC,25,20,95,2,134,134,74,60,0,55.2239,10.4478,14,0.5522,6.1998,46.7756,1.2094,122.3347,1.455,1.3467,0.7363,8,7,2,2,1.4085,12,"insufficient_sample"
BTC,25,20,100,2,112,112,65,47,0,58.0357,16.0714,18,0.5804,11.6071,48.7783,1.7008,127.2947,1.7595,1.5671,0.6154,7,5,1,1,1.6393,1.6393,"insufficient_sample"
BTC,25,10,0,1,52415,52275,26416,25859,140,50.5328,1.0627,557,0.5053,-2.8216,50.1041,2.4362,7.4779,-0.055,-0.0515,287.9945,234,14,7,5,-1.3217,3.7037,"watch_only"
BTC,25,10,5,2,24916,24908,12927,11981,8,51.899,3.7968,946,0.519,-0.1943,51.2782,5.9941,13.2704,-0.1855,0.0075,136.9011,99,13,7,6,-0.1601,11.8721,"research_candidate"
BTC,25,10,10,2,12115,12110,6439,5671,5,53.1709,6.3392,768,0.5317,2.2518,52.2813,6.9789,19.7185,-0.4736,0.0152,66.5659,42,10,7,7,3.5823,17.3913,"research_candidate"
BTC,25,10,15,2,6573,6571,3541,3030,2,53.8883,7.7742,511,0.5389,3.6313,52.6811,6.3038,26.061,-0.7035,0.0004,36.1154,24,10,7,7,4.5862,15.0538,"research_candidate"
