"asset_symbol","market_start_utc","sampled_at_utc","counter_start_market_start_utc","up_count","down_count","diff","processed_market_count"
"SOL","2026-06-08T10:20:00Z","2026-06-08T10:34:53.367Z","2026-06-08T09:45:00Z","3","4","-1","7"
"BTC","2026-06-08T10:25:00Z","2026-06-08T10:39:59.728Z","2026-06-08T09:45:00Z","1","7","-6","8"
"ETH","2026-06-08T10:25:00Z","2026-06-08T10:39:59.728Z","2026-06-08T09:45:00Z","4","4","0","8"
"SOL","2026-06-08T10:25:00Z","2026-06-08T10:39:59.728Z","2026-06-08T09:45:00Z","3","5","-2","8"
"BTC","2026-06-08T10:30:00Z","2026-06-08T10:44:53.390Z","2026-06-08T09:45:00Z","2","7","-5","9"
"ETH","2026-06-08T10:30:00Z","2026-06-08T10:44:53.390Z","2026-06-08T09:45:00Z","5","4","1","9"
"SOL","2026-06-08T10:30:00Z","2026-06-08T10:44:53.390Z","2026-06-08T09:45:00Z","4","5","-1","9"
"BTC","2026-06-08T10:35:00Z","2026-06-08T10:48:47.626Z","2026-06-08T09:45:00Z","2","8","-6","10"
"ETH","2026-06-08T10:35:00Z","2026-06-08T10:48:47.626Z","2026-06-08T09:45:00Z","5","5","0","10"
"SOL","2026-06-08T10:35:00Z","2026-06-08T10:48:47.626Z","2026-06-08T09:45:00Z","4","6","-2","10"
"BTC","2026-06-08T10:40:00Z","2026-06-08T10:54:49.718Z","2026-06-08T09:45:00Z","2","9","-7","11"
"ETH","2026-06-08T10:40:00Z","2026-06-08T10:54:49.718Z","2026-06-08T09:45:00Z","6","5","1","11"
"SOL","2026-06-08T10:40:00Z","2026-06-08T10:54:49.718Z","2026-06-08T09:45:00Z","4","7","-3","11"
"BTC","2026-06-08T10:45:00Z","2026-06-08T10:59:55.175Z","2026-06-08T09:45:00Z","2","10","-8","12"
"ETH","2026-06-08T10:45:00Z","2026-06-08T10:59:55.175Z","2026-06-08T09:45:00Z","6","6","0","12"
"SOL","2026-06-08T10:45:00Z","2026-06-08T10:59:55.175Z","2026-06-08T09:45:00Z","5","7","-2","12"
"BTC","2026-06-08T10:50:00Z","2026-06-08T11:03:23.541Z","2026-06-08T09:45:00Z","3","10","-7","13"
"ETH","2026-06-08T10:50:00Z","2026-06-08T11:03:23.541Z","2026-06-08T09:45:00Z","7","6","1","13"
"SOL","2026-06-08T10:50:00Z","2026-06-08T11:03:23.541Z","2026-06-08T09:45:00Z","6","7","-1","13"
"BTC","2026-06-08T10:55:00Z","2026-06-08T11:04:55.160Z","2026-06-08T11:00:00Z","0","0","0","0"
"ETH","2026-06-08T10:55:00Z","2026-06-08T11:04:55.160Z","2026-06-08T11:00:00Z","0","0","0","0"
"SOL","2026-06-08T10:55:00Z","2026-06-08T11:04:55.160Z","2026-06-08T11:00:00Z","0","0","0","0"
"BTC","2026-06-08T11:00:00Z","2026-06-08T11:09:59.454Z","2026-06-08T11:00:00Z","0","0","0","0"
"ETH","2026-06-08T11:00:00Z","2026-06-08T11:09:59.454Z","2026-06-08T11:00:00Z","0","0","0","0"
"SOL","2026-06-08T11:00:00Z","2026-06-08T11:09:59.454Z","2026-06-08T11:00:00Z","0","0","0","0"
