"sample_number","sample_utc","asset","market_slug","market_id","market_start_utc","market_end_utc","seconds_to_start","seconds_from_start","seconds_to_end","outcome","token_id","best_bid","best_bid_size","best_ask","best_ask_size","spread","bid_levels","ask_levels","top5_bid_size","top5_ask_size","total_bid_size","total_ask_size","book_timestamp","book_market","binance_price","start_reference_price","move_from_start_bps","error"
"6","2026-06-18T18:02:55.1205672+00:00","ETH","eth-updown-5m-1781805300","2584775","2026-06-18T17:55:00.0000000+00:00","2026-06-18T18:00:00.0000000+00:00","-475.121","475.121","-175.121","Up","84464230807213236425016885238522598164473602253759355671732117397567158540848",,,,,,"0","0",,,,,"","","1679.52000000","1679.79000000","-1.6073437751147464861679140000","The remote server returned an error: (404) Not Found."
"6","2026-06-18T18:02:55.1205672+00:00","ETH","eth-updown-5m-1781805300","2584775","2026-06-18T17:55:00.0000000+00:00","2026-06-18T18:00:00.0000000+00:00","-475.121","475.121","-175.121","Down","36868621506353927085332735174569787095878720872195622300005980530115725386975",,,,,,"0","0",,,,,"","","1679.52000000","1679.79000000","-1.6073437751147464861679140000","The remote server returned an error: (404) Not Found."
"6","2026-06-18T18:02:55.1205672+00:00","SOL","sol-updown-5m-1781805300","2584777","2026-06-18T17:55:00.0000000+00:00","2026-06-18T18:00:00.0000000+00:00","-475.121","475.121","-175.121","Up","43590587833960170489458633973229110190958133890499213708362021339678110080916",,,,,,"0","0",,,,,"","","68.48000000","68.66000000","-26.216137489076609379551413000","The remote server returned an error: (404) Not Found."
"6","2026-06-18T18:02:55.1205672+00:00","SOL","sol-updown-5m-1781805300","2584777","2026-06-18T17:55:00.0000000+00:00","2026-06-18T18:00:00.0000000+00:00","-475.121","475.121","-175.121","Down","64729861947531231910320495939117410106727761033132301855694367299130238199956",,,,,,"0","0",,,,,"","","68.48000000","68.66000000","-26.216137489076609379551413000","The remote server returned an error: (404) Not Found."
"6","2026-06-18T18:02:55.1205672+00:00","SOL","sol-updown-5m-1781805600","2584847","2026-06-18T18:00:00.0000000+00:00","2026-06-18T18:05:00.0000000+00:00","-175.121","175.121","124.879","Up","92887202688210559890269037787373548518364039356424906092889842946664474809719","0.09","12","0.1","95.31","0.01","9","90","689.69","657.44","2695.21","6971.00","1781805776174","0x240208a76cd02c37591e0b118ddd74d7caed524a1b0740d840fa5956862c2e6f","68.48000000","68.66000000","-26.216137489076609379551413000",""
"6","2026-06-18T18:02:55.1205672+00:00","SOL","sol-updown-5m-1781805600","2584847","2026-06-18T18:00:00.0000000+00:00","2026-06-18T18:05:00.0000000+00:00","-175.121","175.121","124.879","Down","42158671632333916299715271514496933316667556269910783091936524939668698929488","0.9","95.31","0.91","12","0.01","90","9","657.44","716.94","6971.00","2688.75","1781805776369","0x240208a76cd02c37591e0b118ddd74d7caed524a1b0740d840fa5956862c2e6f","68.48000000","68.66000000","-26.216137489076609379551413000",""
"6","2026-06-18T18:02:55.1205672+00:00","ETH","eth-updown-5m-1781805600","2584849","2026-06-18T18:00:00.0000000+00:00","2026-06-18T18:05:00.0000000+00:00","-175.121","175.121","124.879","Up","54440108909645803563712017609209311553790634574167288046576126967603211899968","0.48","132.73","0.49","270.31","0.01","48","51","699.58","1338.62","13669.09","19909.45","1781805776528","0x5321af2dd99ba82f4abd95b18c702fb05268b58967ad15b3afa0fa94ceb284f1","1679.52000000","1679.79000000","-1.6073437751147464861679140000",""
"6","2026-06-18T18:02:55.1205672+00:00","ETH","eth-updown-5m-1781805600","2584849","2026-06-18T18:00:00.0000000+00:00","2026-06-18T18:05:00.0000000+00:00","-175.121","175.121","124.879","Down","110358233053529115025378425927539828974870137637838800989881295649187961418248","0.51","246.31","0.52","17.73","0.01","51","48","1281.33","584.58","20857.16","14415.94","1781805776705","0x5321af2dd99ba82f4abd95b18c702fb05268b58967ad15b3afa0fa94ceb284f1","1679.52000000","1679.79000000","-1.6073437751147464861679140000",""
"6","2026-06-18T18:02:55.1205672+00:00","BTC","btc-updown-5m-1781805600","2584851","2026-06-18T18:00:00.0000000+00:00","2026-06-18T18:05:00.0000000+00:00","-175.121","175.121","124.879","Up","69551560445088382754714827577620718235813378023082728222424940352395440970822","0.62","592.83","0.63","806.64","0.01","62","37","2632.08","3693.79","54442.46","46461.31","1781805776987","0xba71c99d7fb34fe556a1fa3203307333821ff8ed1d5297b70313adbdf2ff9b26","62628.16000000","62631.60000000","-0.5492435128593234086307870000",""
"6","2026-06-18T18:02:55.1205672+00:00","BTC","btc-updown-5m-1781805600","2584851","2026-06-18T18:00:00.0000000+00:00","2026-06-18T18:05:00.0000000+00:00","-175.121","175.121","124.879","Down","20195300913110956058442138189418940832885706023824964145401620330744384196382","0.37","855.8","0.38","620.17","0.01","37","62","3740.49","2775.36","46381.51","54239.52","1781805777165","0xba71c99d7fb34fe556a1fa3203307333821ff8ed1d5297b70313adbdf2ff9b26","62628.16000000","62631.60000000","-0.5492435128593234086307870000",""
