sampled_at_utc,seconds_after_start,strategy_code,outcome,action,best_ask,previous_max_best_ask,current_max_best_ask,maker_limit_price,places_order,order_sequence,reason
"2026-05-21T15:35:51.5243500+00:00",51.5243503,"btc_up_down_5m_up_maker","Up","between_slots",0.76,0.72,0.72,,"false",1,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:35:56.6921700+00:00",56.6921708,"btc_up_down_5m_down_maker","Down","between_slots",0.23,0.35,0.35,,"false",0,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:35:56.6921700+00:00",56.6921708,"btc_up_down_5m_up_maker","Up","between_slots",0.78,0.72,0.72,,"false",1,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:36:01.9246510+00:00",61.9246515,"btc_up_down_5m_down_maker","Down","no_order",0.25,0.35,0.35,,"false",0,"below_or_equal_previous_max_at_30s_slot"
"2026-05-21T15:36:01.9246510+00:00",61.9246515,"btc_up_down_5m_up_maker","Up","place_order",0.76,0.72,0.76,0.75,"true",2,"new_high_at_30s_slot"
"2026-05-21T15:36:07.1249270+00:00",67.1249274,"btc_up_down_5m_down_maker","Down","between_slots",0.31,0.35,0.35,,"false",0,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:36:07.1249270+00:00",67.1249274,"btc_up_down_5m_up_maker","Up","between_slots",0.72,0.76,0.76,,"false",2,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:36:12.3188020+00:00",72.3188025,"btc_up_down_5m_down_maker","Down","between_slots",0.38,0.35,0.35,,"false",0,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:36:12.3188020+00:00",72.3188025,"btc_up_down_5m_up_maker","Up","between_slots",0.63,0.76,0.76,,"false",2,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:36:17.5461530+00:00",77.546153,"btc_up_down_5m_down_maker","Down","between_slots",0.32,0.35,0.35,,"false",0,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:36:17.5461530+00:00",77.546153,"btc_up_down_5m_up_maker","Up","between_slots",0.69,0.76,0.76,,"false",2,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:36:22.9894100+00:00",82.9894101,"btc_up_down_5m_down_maker","Down","between_slots",0.3,0.35,0.35,,"false",0,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:36:22.9894100+00:00",82.9894101,"btc_up_down_5m_up_maker","Up","between_slots",0.71,0.76,0.76,,"false",2,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:36:28.2332950+00:00",88.2332952,"btc_up_down_5m_down_maker","Down","between_slots",0.33,0.35,0.35,,"false",0,"waiting_for_next_30s_slot_no_max_update"
