"group","slot_start_utc","phase","asset","outcome","slug","market_id","condition_id","token_id","checkpoint_status","formula_limit_price","accepted_hypothetically","accepted_limit_price","accepted_attempt","terminal_reason","target_utc","formula_request_started_utc","formula_response_received_utc","formula_request_offset_from_target_ms","formula_best_bid","formula_best_ask","tick_size","formula_book_age_ms","accepted_at_utc","accepted_request_started_utc","accepted_request_offset_from_target_ms","identity_note"
"EARLY_FIRST_ACCEPTING","2026-08-10T15:55:00.0000000Z","first_accepting","ETH","Down","eth-updown-5m-1786377300","3451552","0x2e7cbc720b874f57c78500b2aa686a21e90dc3363c13e91f30e32bfc68e247a5","85796811649771082052692809416106306608441815177026926184650476584929643669341","ACCEPTED_HYPOTHETICALLY","0.49","true","0.49","1","paper_post_only_accepted_resting",,"2026-08-09T16:05:25.6521432Z","2026-08-09T16:05:25.7282899Z",,"0.49","0.50","0.01","915.2899","2026-08-09T16:05:25.8022246Z","2026-08-09T16:05:25.6521432Z",,"Clean checkpoint; accepted_limit_price is the S0/S1 result."
"EARLY_FIRST_ACCEPTING","2026-08-10T15:55:00.0000000Z","first_accepting","SOL","Up","sol-updown-5m-1786377300","3451550","0x420dbb20949bde6a60f40b811880db0ad10360c022c69402c5462aaa659640d3","72046960821173728169051712149700685171730904804554394093400590187171041911599","ACCEPTED_HYPOTHETICALLY","0.50","true","0.50","1","paper_post_only_accepted_resting",,"2026-08-09T16:05:01.8507360Z","2026-08-09T16:05:02.0383955Z",,"0.50","0.51","0.01","1026.3955","2026-08-09T16:05:02.1073257Z","2026-08-09T16:05:01.8507360Z",,"Clean checkpoint; accepted_limit_price is the S0/S1 result."
"EARLY_FIRST_ACCEPTING","2026-08-10T15:55:00.0000000Z","first_accepting","SOL","Down","sol-updown-5m-1786377300","3451550","0x420dbb20949bde6a60f40b811880db0ad10360c022c69402c5462aaa659640d3","114490548143180499380859141938180714378179893424225730330459602534634857700483","ACCEPTED_HYPOTHETICALLY","0.49","true","0.49","1","paper_post_only_accepted_resting",,"2026-08-09T16:05:01.8508423Z","2026-08-09T16:05:02.0383737Z",,"0.49","0.50","0.01","1026.3737","2026-08-09T16:05:02.1271680Z","2026-08-09T16:05:01.8508423Z",,"Clean checkpoint; accepted_limit_price is the S0/S1 result."
"T_MINUS_30","2026-08-09T16:15:00.0000000Z","start_minus_30s","BTC","Up","btc-updown-5m-1786292100","3422236","0x77f96121ec771abaea83a3511d75334faa5f205b48756f3bda36afd49f56a96a","5748492662992937563677706341697312790268225116535332984666575190486564088912","ACCEPTED_HYPOTHETICALLY","0.49","true","0.49","1","paper_post_only_accepted_resting","2026-08-09T16:14:30.0000000Z","2026-08-09T16:14:30.0053969Z","2026-08-09T16:14:30.3265918Z","5.3969","0.49","0.50","0.01","1260.5918","2026-08-09T16:14:30.5528581Z","2026-08-09T16:14:30.0053969Z","5.3969","Accepted by the read-only S0/S1 paper gate; not a venue submission."
"T_MINUS_30","2026-08-09T16:15:00.0000000Z","start_minus_30s","BTC","Down","btc-updown-5m-1786292100","3422236","0x77f96121ec771abaea83a3511d75334faa5f205b48756f3bda36afd49f56a96a","36996426487197827423406309067594949655141833129106554460697354064747412068051","ACCEPTED_HYPOTHETICALLY","0.50","true","0.50","3","paper_post_only_accepted_resting","2026-08-09T16:14:30.0000000Z","2026-08-09T16:14:30.0054608Z","2026-08-09T16:14:30.3267562Z","5.4608","0.50","0.51","0.01","1260.7562","2026-08-09T16:14:31.9958243Z","2026-08-09T16:14:31.3688255Z","1368.8255","Accepted by the read-only S0/S1 paper gate; not a venue submission."
"T_MINUS_30","2026-08-09T16:15:00.0000000Z","start_minus_30s","ETH","Up","eth-updown-5m-1786292100","3422234","0x756b4160d54ddcc692cf9f16e1c5be3f7a950239ccd8966fae14b1b66352d21d","56469600211290039434853924876554554667967729114194963615040021786155270121086","ACCEPTED_HYPOTHETICALLY","0.49","true","0.49","4","paper_post_only_accepted_resting","2026-08-09T16:14:30.0000000Z","2026-08-09T16:14:30.0054752Z","2026-08-09T16:14:30.3272328Z","5.4752","0.49","0.50","0.01","3037.2328","2026-08-09T16:14:31.9958980Z","2026-08-09T16:14:31.3688314Z","1368.8314","Accepted by the read-only S0/S1 paper gate; not a venue submission."
"T_MINUS_30","2026-08-09T16:15:00.0000000Z","start_minus_30s","ETH","Down","eth-updown-5m-1786292100","3422234","0x756b4160d54ddcc692cf9f16e1c5be3f7a950239ccd8966fae14b1b66352d21d","5173096798718110071962129885197028746340260859062669797518274112674317906172","ACCEPTED_HYPOTHETICALLY","0.50","true","0.50","4","paper_post_only_accepted_resting","2026-08-09T16:14:30.0000000Z","2026-08-09T16:14:30.0054931Z","2026-08-09T16:14:30.3270694Z","5.4931","0.50","0.51","0.01","3037.0694","2026-08-09T16:14:31.9961281Z","2026-08-09T16:14:31.3687829Z","1368.7829","Accepted by the read-only S0/S1 paper gate; not a venue submission."
"T_MINUS_30","2026-08-09T16:15:00.0000000Z","start_minus_30s","SOL","Up","sol-updown-5m-1786292100","3422239","0x78508f5ca5f5d8dddfad1e097c7c206ce38a4ab7b240cb09b390db4794a38cfd","53012861709826739118315649562645708272815743515336780298926684112931836953678","ACCEPTED_HYPOTHETICALLY","0.48","true","0.48","1","paper_post_only_accepted_resting","2026-08-09T16:14:30.0000000Z","2026-08-09T16:14:30.0055065Z","2026-08-09T16:14:30.3270059Z","5.5065","0.48","0.49","0.01","1171.0059","2026-08-09T16:14:30.5527183Z","2026-08-09T16:14:30.0055065Z","5.5065","Accepted by the read-only S0/S1 paper gate; not a venue submission."
"T_MINUS_30","2026-08-09T16:15:00.0000000Z","start_minus_30s","SOL","Down","sol-updown-5m-1786292100","3422239","0x78508f5ca5f5d8dddfad1e097c7c206ce38a4ab7b240cb09b390db4794a38cfd","71383614848778353904147393876012274493960272933845852082874182433147866265432","ACCEPTED_HYPOTHETICALLY","0.51","true","0.51","1","paper_post_only_accepted_resting","2026-08-09T16:14:30.0000000Z","2026-08-09T16:14:30.0055111Z","2026-08-09T16:14:30.2984044Z","5.5111","0.51","0.52","0.01","1142.4044","2026-08-09T16:14:30.5526819Z","2026-08-09T16:14:30.0055111Z","5.5111","Accepted by the read-only S0/S1 paper gate; not a venue submission."
"T_MINUS_30","2026-08-09T16:20:00.0000000Z","start_minus_30s","BTC","Up","btc-updown-5m-1786292400","3422259","0xfbeacada0047c0476e005f2b9352acf8e2d5a6d9fe0dd0ece68585baa86e164f","58250106392020685856029879521713260570266905152574642273587317295392909991685","FORMULA_ONLY_S0_NOT_CURRENT","0.49","false",,,"maker_gtd_s0_book_not_current","2026-08-09T16:19:30.0000000Z","2026-08-09T16:19:30.0012371Z","2026-08-09T16:19:30.1288183Z","1.2371","0.49","0.50","0.01","2236.8183",,,,"Formula candidate existed, but the local freshness/S0 gate did not pass; not a venue rejection."
