asset,strategy_name,trigger_side,target_outcome,threshold,markets_evaluated,betting_episodes,entries,settled_entries,flat_entries,wins,losses,win_rate_pct,total_stake_units,settled_stake_units,pnl_units,roi_pct,avg_stake_units,max_multiplier,capped_entries,max_drawdown_units,active_days,positive_days,negative_days,flat_days,first_entry_utc,last_entry_utc
"BTC","BTC Up or Down 5m 22 Diff Down Progress","Down","Up",22,52230,109,1386,1383,3,692,691,50.03615329,7682,7677,47,0.61221831,5.54256854,10,299,220,28,21,7,0,"2026-01-17T11:00:00.0000000+00:00","2026-06-24T19:55:00.0000000+00:00"
"BTC","BTC Up or Down 5m 37 Diff Up Progress","Up","Down",37,52230,11,110,110,0,57,53,51.81818182,460,460,46,10,4.18181818,10,0,36,2,2,0,0,"2026-03-14T22:00:00.0000000+00:00","2026-04-17T23:55:00.0000000+00:00"
"BTC","BTC Up or Down 5m 32 Diff Up Progress","Up","Down",32,52230,30,256,255,1,133,122,52.15686275,1301,1297,45,3.4695451,5.08203125,10,38,87,8,6,2,0,"2025-12-30T14:25:00.0000000+00:00","2026-05-31T23:55:00.0000000+00:00"
"BTC","BTC Up or Down 5m 33 Diff Down Progress","Down","Up",33,52230,25,249,249,0,130,119,52.20883534,1205,1205,43,3.56846473,4.83935743,10,23,108,5,4,1,0,"2026-01-28T22:40:00.0000000+00:00","2026-06-05T23:50:00.0000000+00:00"
"BTC","BTC Up or Down 5m 38 Diff Up Progress","Up","Down",38,52230,13,87,87,0,48,39,55.17241379,350,350,42,12,4.02298851,9,0,28,2,2,0,0,"2026-03-14T23:40:00.0000000+00:00","2026-04-17T23:55:00.0000000+00:00"
"BTC","BTC Up or Down 5m 34 Diff Up Progress","Up","Down",34,52230,10,182,181,1,89,92,49.17127072,904,902,38,4.21286031,4.96703297,10,19,68,6,6,0,0,"2025-12-30T15:15:00.0000000+00:00","2026-05-31T23:05:00.0000000+00:00"
"BTC","BTC Up or Down 5m 33 Diff Up Progress","Up","Down",33,52230,19,209,208,1,106,102,50.96153846,1083,1080,38,3.51851852,5.18181818,10,30,78,8,7,1,0,"2025-12-30T15:00:00.0000000+00:00","2026-05-31T23:10:00.0000000+00:00"
"BTC","BTC Up or Down 5m 26 Diff Up Progress","Up","Down",26,52230,48,733,732,1,360,372,49.18032787,3980,3970,38,0.95717884,5.42974079,10,133,208,14,11,3,0,"2025-12-30T10:05:00.0000000+00:00","2026-06-13T22:45:00.0000000+00:00"
"BTC","BTC Up or Down 5m 39 Diff Up Progress","Up","Down",39,52230,9,66,66,0,36,30,54.54545455,263,263,33,12.54752852,3.98484848,8,0,20,1,1,0,0,"2026-04-17T14:00:00.0000000+00:00","2026-04-17T23:55:00.0000000+00:00"
"BTC","BTC Up or Down 5m 34 Diff Down Progress","Down","Up",34,52230,22,204,204,0,107,97,52.45098039,979,979,33,3.37078652,4.79901961,10,18,100,5,4,1,0,"2026-01-28T23:55:00.0000000+00:00","2026-06-05T23:45:00.0000000+00:00"
"BTC","BTC Up or Down 5m 40 Diff Up Progress","Up","Down",40,52230,5,53,53,0,28,25,52.83018868,197,197,27,13.70558376,3.71698113,7,0,15,1,1,0,0,"2026-04-17T14:45:00.0000000+00:00","2026-04-17T23:55:00.0000000+00:00"
"BTC","BTC Up or Down 5m 41 Diff Up Progress","Up","Down",41,52230,4,45,45,0,24,21,53.33333333,144,144,24,16.66666667,3.2,6,0,12,1,1,0,0,"2026-04-17T15:20:00.0000000+00:00","2026-04-17T23:55:00.0000000+00:00"
