Betting wave duration snapshot captured at 2026-06-16T08:10:01.0401462+00:00
Host: 192.168.0.101
Database: polycopytrader
Server address: 192.168.0.101/32
Server time UTC: 2026-06-16T08:10:00Z

## Service heartbeat
service_name	status	mode	heartbeat_utc	heartbeat_age_seconds	last_error
PolyCopyTrader.Service	Running	Live	2026-06-16T08:09:36Z	24.1	<none>
PolyCopyTrader.Tests	Running	ReadOnly	2026-05-04T14:02:41Z	3694039.3	<none>

## Recent all-enabled waves
entry_due_utc	runs	still_observed	processed	entered_or_settled	skipped	entry_due_expired	full_wave_seconds	max_actual_entry_seconds	last_processed_utc
2026-06-16T06:45:00Z	diff_paper	1464	0	1464	94	1370	0	13.20	13.17	2026-06-16T06:45:13Z

## Completed wave duration summary
rollup_group	completed_waves	min_runs_per_wave	max_runs_per_wave	avg_full_wave_seconds	p50_full_wave_seconds	p95_full_wave_seconds	max_full_wave_seconds	avg_max_actual_entry_seconds	max_actual_entry_seconds	entry_due_expired
all_enabled	17	1770	1770	70.36	52.45	183.13	211.21	50.36	66.88	17
live	17	6	6	26.49	1.55	183.13	211.21	2.58	9.68	0
simple_paper	17	6	6	70.36	52.45	183.13	211.21	42.32	56.19	17
up_down_bps_paper	17	294	294	70.35	52.45	183.13	211.21	43.80	66.88	0
diff_paper	17	1464	1464	20.97	16.44	33.09	38.84	20.81	38.81	0

Betting wave duration snapshot finished at 2026-06-16T08:10:08.4848891+00:00
