"asset_symbol","market_start_epoch","market_start_utc","market_start_sofia","up_count","down_count","diff","processed_market_count","service_started_at_utc","service_started_at_sofia","db_now_utc"
"ETH","1780953900","2026-06-08 21:25:00 UTC","2026-06-09 00:25","2","2","0","4","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780954200","2026-06-08 21:30:00 UTC","2026-06-09 00:30","3","2","1","5","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780954500","2026-06-08 21:35:00 UTC","2026-06-09 00:35","4","2","2","6","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780954800","2026-06-08 21:40:00 UTC","2026-06-09 00:40","5","2","3","7","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780955100","2026-06-08 21:45:00 UTC","2026-06-09 00:45","5","3","2","8","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780955400","2026-06-08 21:50:00 UTC","2026-06-09 00:50","5","4","1","9","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780955700","2026-06-08 21:55:00 UTC","2026-06-09 00:55","5","5","0","10","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780956000","2026-06-08 22:00:00 UTC","2026-06-09 01:00","5","6","-1","11","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780956300","2026-06-08 22:05:00 UTC","2026-06-09 01:05","5","7","-2","12","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780956600","2026-06-08 22:10:00 UTC","2026-06-09 01:10","5","8","-3","13","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780956900","2026-06-08 22:15:00 UTC","2026-06-09 01:15","5","9","-4","14","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780957200","2026-06-08 22:20:00 UTC","2026-06-09 01:20","6","9","-3","15","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
