offset_seconds,threshold_bps,entries,settled_trades,wins,losses,ties,win_rate_pct,roi_pct,pnl_units,wilson_lower_win_rate_pct,z_score,avg_prev_move_bps,avg_current_move_bps,trades_per_day,max_drawdown_units,longest_loss_streak,active_months,profitable_active_months,worst_month_roi_pct,best_month_roi_pct,suitability
10,17,5251,5244,2812,2432,7,53.6232,7.2367,380,52.2713,5.2475,33.2081,-0.0033,28.8516,28,15,7,7,4.2584,14.0541,"research_candidate"
10,18,4842,4836,2580,2256,6,53.3499,6.6914,324,51.9417,4.6591,34.5346,0.0539,26.6044,29,14,7,7,4.0927,16.0714,"research_candidate"
10,19,4438,4432,2380,2052,6,53.7004,7.3907,328,52.2298,4.9269,35.9958,0.1054,24.3846,27,13,7,7,4.8013,15.4839,"research_candidate"
10,20,4079,4073,2188,1885,6,53.7196,7.4283,303,52.1855,4.7477,37.4488,0.1339,22.4121,26,11,7,7,4.3643,16.5414,"research_candidate"
10,21,3780,3775,2030,1745,5,53.7748,7.5397,285,52.1813,4.6386,38.7911,0.1834,20.7692,25,11,7,7,4.5078,19.5122,"research_candidate"
10,22,3509,3504,1892,1612,5,53.9954,7.9795,280,52.3417,4.7302,40.1263,0.276,19.2802,26,10,7,7,4.2506,23.4234,"research_candidate"
10,23,3256,3251,1757,1494,5,54.0449,8.0774,263,52.328,4.6126,41.4966,0.2665,17.8901,24,9,7,7,4.4118,23.1579,"research_candidate"
10,24,3021,3018,1645,1373,3,54.5063,9.0036,272,52.7251,4.9512,42.8984,0.1479,16.5989,24,9,7,7,4.3011,25.5814,"research_candidate"
10,25,2815,2812,1534,1278,3,54.5519,9.0941,256,52.7066,4.8276,44.2452,0.2222,15.467,23,8,7,7,6.2857,23.4568,"research_candidate"
10,26,2631,2629,1444,1185,2,54.9258,9.8442,259,53.018,5.0513,45.5551,0.2204,14.456,23,8,7,7,7.0991,23.2877,"research_candidate"
10,27,2478,2476,1363,1113,2,55.0485,10.0888,250,53.0827,5.0242,46.7316,0.2196,13.6154,23,8,7,7,7.5817,19.403,"research_candidate"
10,28,2303,2301,1274,1027,2,55.3672,10.7251,247,53.3288,5.1492,48.1956,0.2503,12.6538,18,7,7,7,9.7357,19.3548,"research_candidate"
10,29,2140,2138,1186,952,2,55.4724,10.9346,234,53.3577,5.0607,49.6999,-0.0025,11.7582,17,7,7,7,9.0526,21.4286,"research_candidate"
10,30,2005,2003,1116,887,2,55.7164,11.4214,229,53.5322,5.1168,51.0602,-0.0252,11.0165,14,9,7,7,8.1448,24.5283,"research_candidate"
10,31,1877,1876,1047,829,1,55.8102,11.6143,218,53.5533,5.0332,52.4637,0.0955,10.3132,14,9,7,7,8.8305,21.7391,"research_candidate"
10,32,1763,1762,980,782,1,55.6186,11.2309,198,53.289,4.717,53.8216,0.2082,9.6868,14,9,7,7,5.3435,23.8095,"research_candidate"
10,33,1654,1653,919,734,1,55.5959,11.185,185,53.1904,4.5503,55.2291,0.1437,9.0879,15,9,7,7,4,25,"research_candidate"
10,34,1554,1553,864,689,1,55.6343,11.2613,175,53.1524,4.4407,56.6276,0.2042,8.5385,15,7,7,7,5.7143,25.7143,"research_candidate"
10,35,1458,1457,814,643,1,55.8682,11.7284,171,53.3064,4.4799,58.0874,0.2322,8.011,15,7,7,7,1.5873,31.25,"research_candidate"
10,36,1372,1371,766,605,1,55.8716,11.7347,161,53.2304,4.3482,59.5031,0.2681,7.5385,15,7,7,7,5.2632,29.0323,"research_candidate"
10,37,1306,1305,726,579,1,55.6322,11.2557,147,52.924,4.0692,60.6663,0.4095,7.1758,15,7,7,6,-1.9608,28.5714,"research_candidate"
10,38,1230,1229,689,540,1,56.0618,12.1138,149,53.2724,4.2502,62.0955,0.1386,6.7582,16,7,7,6,0,28,"research_candidate"
10,39,1174,1173,656,517,1,55.925,11.8399,139,53.069,4.0585,63.2198,0.2466,6.4505,15,7,7,6,-4.5455,25,"research_candidate"
10,40,1101,1100,623,477,1,56.6364,13.2607,146,53.6896,4.4021,64.7931,-0.1944,6.0495,17,7,7,6,-4.7619,25,"research_candidate"
10,41,1037,1036,590,446,1,56.9498,13.8862,144,53.9144,4.4739,66.2944,-0.1187,5.6978,17,7,7,6,-7.6923,21.7391,"research_candidate"
10,42,992,991,564,427,1,56.9122,13.8105,137,53.8082,4.3519,67.4198,-0.0212,5.4505,16,7,7,6,-7.6923,20.5298,"research_candidate"
10,43,944,943,530,413,1,56.2036,12.3941,117,53.0181,3.81,68.6874,0.199,5.1868,16,10,7,6,-10.5263,21.1268,"research_candidate"
10,44,892,891,500,391,1,56.1167,12.2197,109,52.8389,3.6516,70.155,0.3192,4.9011,16,10,6,5,-3.2258,18.8406,"research_candidate"
10,45,854,853,475,378,1,55.6858,11.3583,97,52.334,3.3212,71.2985,0.5288,4.6923,16,10,6,5,-6.6667,17.5573,"research_candidate"
10,46,821,820,456,364,1,55.6098,11.2058,92,52.1907,3.2128,72.3336,0.519,4.511,14,8,6,5,-3.4483,16.2791,"research_candidate"
10,47,780,779,430,349,1,55.199,10.3846,81,51.6898,2.9021,73.692,0.7434,4.2857,14,8,6,5,-7.1429,15.7025,"research_candidate"
10,48,746,745,408,337,1,54.7651,9.5174,71,51.1757,2.6012,74.8873,0.6971,4.0989,15,8,6,5,-7.1429,16.2393,"research_candidate"
10,49,716,715,392,323,1,54.8252,9.6369,69,51.1612,2.5805,75.9907,0.6573,3.9341,16,8,6,5,0,16.3636,"research_candidate"
10,50,678,677,366,311,1,54.062,8.1121,55,50.2957,2.1138,77.476,1.1604,3.7253,17,8,6,6,4,14,"research_candidate"
15,1,23972,23895,12204,11691,77,51.0734,2.14,513,50.4395,3.3187,12.5766,-0.0155,131.7143,64,13,7,7,0.1437,4.9121,"watch_only"
15,2,21859,21791,11144,10647,68,51.1404,2.2737,497,50.4765,3.3668,13.6488,0.052,120.1044,62,13,7,6,-1.3177,5.6789,"watch_only"
15,3,19825,19765,10159,9606,60,51.3989,2.7894,553,50.7019,3.9335,14.7927,0.0234,108.9286,73,12,7,6,-0.9466,6.339,"watch_only"
15,4,17996,17946,9238,8708,50,51.4767,2.9451,530,50.7452,3.9563,15.9413,0.0316,98.8791,85,10,7,6,-0.7843,7.3231,"watch_only"
15,5,16271,16230,8384,7846,41,51.6574,3.3065,538,50.8883,4.223,17.155,-0.0047,89.4011,83,10,7,7,0.4956,8.2658,"research_candidate"
15,6,14670,14632,7576,7056,38,51.7769,3.5446,520,50.9669,4.2988,18.4285,-0.0008,80.6044,80,11,7,7,0.086,8.6957,"research_candidate"
15,7,13266,13237,6909,6328,29,52.1946,4.3796,581,51.3431,5.0499,19.6922,-0.1702,72.8901,58,11,7,7,1.5194,9.7125,"research_candidate"
15,8,11970,11947,6260,5687,23,52.3981,4.787,573,51.5019,5.2423,21.0129,-0.1558,65.7692,63,10,7,7,1.1399,10.3377,"research_candidate"
15,9,10836,10814,5706,5108,22,52.7649,5.5186,598,51.8232,5.7505,22.325,-0.2255,59.5385,48,12,7,7,0.9943,9.2884,"research_candidate"
15,10,9793,9772,5175,4597,21,52.9574,5.9022,578,51.9668,5.847,23.6907,-0.291,53.8077,49,11,7,7,1.5536,10.0326,"research_candidate"
15,11,8883,8865,4739,4126,18,53.4574,6.9008,613,52.4178,6.5106,25.043,-0.3914,48.8077,37,18,7,7,3.5008,8.9868,"research_candidate"
15,12,8049,8035,4307,3728,14,53.603,7.1934,579,52.5111,6.4593,26.4457,-0.3489,44.2253,35,17,7,7,4.2341,10.3083,"research_candidate"
15,13,7358,7345,3926,3419,13,53.4513,6.8905,507,52.3091,5.9158,27.7559,-0.1621,40.4286,44,16,7,7,2.967,10.5263,"research_candidate"
15,14,6743,6733,3600,3133,10,53.468,6.9257,467,52.2749,5.6913,29.0576,-0.1351,37.0495,30,14,7,7,2.9586,11.583,"research_candidate"
15,15,6168,6159,3293,2866,9,53.4665,6.9228,427,52.219,5.4409,30.417,-0.1542,33.8901,33,14,7,7,3.7934,10.2653,"research_candidate"
15,16,5653,5644,3017,2627,9,53.455,6.899,390,52.1517,5.1912,31.7781,-0.0863,31.0604,27,14,7,7,4.2795,10.0381,"research_candidate"
15,17,5177,5170,2766,2404,7,53.501,6.9925,362,52.1393,5.0346,33.1821,-0.0104,28.4451,23,16,7,7,3.8885,13.4078,"research_candidate"
15,18,4759,4753,2529,2224,6,53.2085,6.4089,305,51.7879,4.424,34.5594,0.1535,26.1484,27,15,7,7,3.4109,12.5786,"research_candidate"
15,19,4384,4378,2342,2036,6,53.4947,6.9799,306,52.0148,4.6247,35.9334,0.2128,24.0879,22,13,7,7,4.1186,14.3836,"research_candidate"
15,20,4050,4044,2167,1877,6,53.5856,7.1605,290,52.0458,4.5603,37.2879,0.161,22.2527,25,11,7,7,4.0956,15.748,"research_candidate"
15,21,3751,3747,2005,1742,4,53.5095,7.0115,263,51.9097,4.2965,38.6255,0.2366,20.6099,26,11,7,7,4.6154,17.3913,"research_candidate"
15,22,3478,3474,1859,1615,4,53.5118,7.0155,244,51.8503,4.1398,39.9718,0.4596,19.1099,27,11,7,7,1.31,16.0377,"research_candidate"
15,23,3240,3236,1742,1494,4,53.8319,7.6543,248,52.1107,4.3596,41.2566,0.4302,17.8022,21,11,7,7,3.8095,23.6559,"research_candidate"
15,24,3020,3016,1629,1387,4,54.0119,8.0132,242,52.2292,4.4066,42.5499,0.3387,16.5934,21,10,7,7,3.2258,26.7442,"research_candidate"
15,25,2781,2777,1513,1264,4,54.4833,8.9536,249,52.6261,4.7251,44.1034,0.3802,15.2802,16,8,7,7,5.9524,25.3165,"research_candidate"
15,26,2602,2598,1424,1174,4,54.8114,9.608,250,52.8919,4.9048,45.3829,0.3636,14.2967,15,7,7,7,5.3333,22.3684,"research_candidate"
