asset_symbol,market_start_utc,sampled_at_utc,counter_start_market_start_utc,up_count,down_count,diff,diff_count,processed_market_count,counter_initialized,history_fetch_failed
"BTC","2026-06-09T03:30:00Z","2026-06-09T03:39:58Z","2026-06-08T21:10:00Z",38,39,-1,-137,77,true,false
"ETH","2026-06-09T03:30:00Z","2026-06-09T03:39:58Z","2026-06-08T21:10:00Z",38,39,-1,-173,77,true,false
"SOL","2026-06-09T03:30:00Z","2026-06-09T03:39:58Z","2026-06-08T21:10:00Z",41,36,5,-209,77,true,false
"BTC","2026-06-09T03:35:00Z","2026-06-09T03:44:56Z","2026-06-08T21:10:00Z",39,39,0,-137,78,true,false
"ETH","2026-06-09T03:35:00Z","2026-06-09T03:44:56Z","2026-06-08T21:10:00Z",39,39,0,-173,78,true,false
"SOL","2026-06-09T03:35:00Z","2026-06-09T03:44:56Z","2026-06-08T21:10:00Z",42,36,6,-203,78,true,false
"BTC","2026-06-09T03:40:00Z","2026-06-09T03:49:58Z","2026-06-08T21:10:00Z",40,39,1,-136,79,true,false
"ETH","2026-06-09T03:40:00Z","2026-06-09T03:49:58Z","2026-06-08T21:10:00Z",40,39,1,-172,79,true,false
"SOL","2026-06-09T03:40:00Z","2026-06-09T03:49:58Z","2026-06-08T21:10:00Z",43,36,7,-196,79,true,false
"BTC","2026-06-09T03:45:00Z","2026-06-09T03:54:57Z","2026-06-08T21:10:00Z",41,39,2,-134,80,true,false
"ETH","2026-06-09T03:45:00Z","2026-06-09T03:54:57Z","2026-06-08T21:10:00Z",41,39,2,-170,80,true,false
"SOL","2026-06-09T03:45:00Z","2026-06-09T03:54:57Z","2026-06-08T21:10:00Z",44,36,8,-188,80,true,false
"BTC","2026-06-09T03:50:00Z","2026-06-09T03:59:58Z","2026-06-08T21:10:00Z",41,40,1,-133,81,true,false
"ETH","2026-06-09T03:50:00Z","2026-06-09T03:59:58Z","2026-06-08T21:10:00Z",41,40,1,-169,81,true,false
"SOL","2026-06-09T03:50:00Z","2026-06-09T03:59:58Z","2026-06-08T21:10:00Z",44,37,7,-181,81,true,false
"BTC","2026-06-09T03:55:00Z","2026-06-09T04:04:58Z","2026-06-08T21:10:00Z",42,40,2,-131,82,true,false
"ETH","2026-06-09T03:55:00Z","2026-06-09T04:04:58Z","2026-06-08T21:10:00Z",42,40,2,-167,82,true,false
"SOL","2026-06-09T03:55:00Z","2026-06-09T04:04:58Z","2026-06-08T21:10:00Z",45,37,8,-173,82,true,false
"BTC","2026-06-09T04:00:00Z","2026-06-09T04:09:59Z","2026-06-08T21:10:00Z",42,41,1,-130,83,true,false
"ETH","2026-06-09T04:00:00Z","2026-06-09T04:09:59Z","2026-06-08T21:10:00Z",42,41,1,-166,83,true,false
"SOL","2026-06-09T04:00:00Z","2026-06-09T04:09:59Z","2026-06-08T21:10:00Z",45,38,7,-166,83,true,false
"BTC","2026-06-09T04:05:00Z","2026-06-09T04:14:53Z","2026-06-08T21:10:00Z",43,41,2,-128,84,true,false
"ETH","2026-06-09T04:05:00Z","2026-06-09T04:14:53Z","2026-06-08T21:10:00Z",43,41,2,-164,84,true,false
"SOL","2026-06-09T04:05:00Z","2026-06-09T04:14:53Z","2026-06-08T21:10:00Z",46,38,8,-158,84,true,false
"BTC","2026-06-09T04:10:00Z","2026-06-09T04:19:59Z","2026-06-08T21:10:00Z",43,42,1,-127,85,true,false
"ETH","2026-06-09T04:10:00Z","2026-06-09T04:19:59Z","2026-06-08T21:10:00Z",43,42,1,-163,85,true,false
"SOL","2026-06-09T04:10:00Z","2026-06-09T04:19:59Z","2026-06-08T21:10:00Z",47,38,9,-149,85,true,false
"BTC","2026-06-09T04:15:00Z","2026-06-09T04:24:57Z","2026-06-08T21:10:00Z",43,43,0,-127,86,true,false
"ETH","2026-06-09T04:15:00Z","2026-06-09T04:24:57Z","2026-06-08T21:10:00Z",43,43,0,-163,86,true,false
"SOL","2026-06-09T04:15:00Z","2026-06-09T04:24:57Z","2026-06-08T21:10:00Z",47,39,8,-141,86,true,false
"BTC","2026-06-09T04:20:00Z","2026-06-09T04:29:57Z","2026-06-08T21:10:00Z",43,44,-1,-128,87,true,false
"ETH","2026-06-09T04:20:00Z","2026-06-09T04:29:57Z","2026-06-08T21:10:00Z",43,44,-1,-164,87,true,false
"SOL","2026-06-09T04:20:00Z","2026-06-09T04:29:57Z","2026-06-08T21:10:00Z",47,40,7,-134,87,true,false
"BTC","2026-06-09T04:25:00Z","2026-06-09T04:34:47Z","2026-06-08T21:10:00Z",43,45,-2,-130,88,true,false
"ETH","2026-06-09T04:25:00Z","2026-06-09T04:34:47Z","2026-06-08T21:10:00Z",43,45,-2,-166,88,true,false
"SOL","2026-06-09T04:25:00Z","2026-06-09T04:34:47Z","2026-06-08T21:10:00Z",47,41,6,-128,88,true,false
"BTC","2026-06-09T04:30:00Z","2026-06-09T04:39:57Z","2026-06-08T21:10:00Z",44,45,-1,-131,89,true,false
"ETH","2026-06-09T04:30:00Z","2026-06-09T04:39:57Z","2026-06-08T21:10:00Z",44,45,-1,-167,89,true,false
"SOL","2026-06-09T04:30:00Z","2026-06-09T04:39:57Z","2026-06-08T21:10:00Z",48,41,7,-121,89,true,false
"BTC","2026-06-09T04:35:00Z","2026-06-09T04:44:58Z","2026-06-08T21:10:00Z",45,45,0,-131,90,true,false
"ETH","2026-06-09T04:35:00Z","2026-06-09T04:44:58Z","2026-06-08T21:10:00Z",45,45,0,-167,90,true,false
"SOL","2026-06-09T04:35:00Z","2026-06-09T04:44:58Z","2026-06-08T21:10:00Z",49,41,8,-113,90,true,false
"BTC","2026-06-09T04:40:00Z","2026-06-09T04:49:53Z","2026-06-08T21:10:00Z",45,46,-1,-132,91,true,false
"ETH","2026-06-09T04:40:00Z","2026-06-09T04:49:53Z","2026-06-08T21:10:00Z",45,46,-1,-168,91,true,false
"SOL","2026-06-09T04:40:00Z","2026-06-09T04:49:53Z","2026-06-08T21:10:00Z",49,42,7,-106,91,true,false
"BTC","2026-06-09T04:45:00Z","2026-06-09T04:54:57Z","2026-06-08T21:10:00Z",46,46,0,-132,92,true,false
"ETH","2026-06-09T04:45:00Z","2026-06-09T04:54:57Z","2026-06-08T21:10:00Z",46,46,0,-168,92,true,false
"SOL","2026-06-09T04:45:00Z","2026-06-09T04:54:57Z","2026-06-08T21:10:00Z",50,42,8,-98,92,true,false
"BTC","2026-06-09T04:50:00Z","2026-06-09T04:59:59Z","2026-06-08T21:10:00Z",46,47,-1,-133,93,true,false
"ETH","2026-06-09T04:50:00Z","2026-06-09T04:59:59Z","2026-06-08T21:10:00Z",46,47,-1,-169,93,true,false
"SOL","2026-06-09T04:50:00Z","2026-06-09T04:59:59Z","2026-06-08T21:10:00Z",50,43,7,-91,93,true,false
"BTC","2026-06-09T04:55:00Z","2026-06-09T05:04:50Z","2026-06-08T21:10:00Z",46,48,-2,-135,94,true,false
"ETH","2026-06-09T04:55:00Z","2026-06-09T05:04:50Z","2026-06-08T21:10:00Z",46,48,-2,-171,94,true,false
"SOL","2026-06-09T04:55:00Z","2026-06-09T05:04:50Z","2026-06-08T21:10:00Z",50,44,6,-85,94,true,false
"BTC","2026-06-09T05:00:00Z","2026-06-09T05:09:51Z","2026-06-08T21:10:00Z",47,48,-1,-136,95,true,false
"ETH","2026-06-09T05:00:00Z","2026-06-09T05:09:51Z","2026-06-08T21:10:00Z",47,48,-1,-172,95,true,false
"SOL","2026-06-09T05:00:00Z","2026-06-09T05:09:51Z","2026-06-08T21:10:00Z",51,44,7,-78,95,true,false
"BTC","2026-06-09T05:05:00Z","2026-06-09T05:14:59Z","2026-06-08T21:10:00Z",47,49,-2,-138,96,true,false
"ETH","2026-06-09T05:05:00Z","2026-06-09T05:14:59Z","2026-06-08T21:10:00Z",47,49,-2,-174,96,true,false
"SOL","2026-06-09T05:05:00Z","2026-06-09T05:14:59Z","2026-06-08T21:10:00Z",51,45,6,-72,96,true,false
"BTC","2026-06-09T05:10:00Z","2026-06-09T05:19:58Z","2026-06-08T21:10:00Z",48,49,-1,-139,97,true,false
"ETH","2026-06-09T05:10:00Z","2026-06-09T05:19:58Z","2026-06-08T21:10:00Z",48,49,-1,-175,97,true,false
"SOL","2026-06-09T05:10:00Z","2026-06-09T05:19:58Z","2026-06-08T21:10:00Z",52,45,7,-65,97,true,false
