asset_symbol	market_start_utc	sampled_at_utc	counter_start_market_start_utc	up_count	down_count	diff	diff_count	processed_market_count	counter_initialized	last_included_market_start_utc	high_water_market_start_utc	history_fetch_failed
BTC	2026-06-09T02:40:00Z	2026-06-09T02:49:53.939Z	2026-06-08T21:10:00Z	33	34	-1	-140	67	True	2026-06-09T02:40:00Z	2026-06-09T02:40:00Z	False
ETH	2026-06-09T02:40:00Z	2026-06-09T02:49:53.939Z	2026-06-08T21:10:00Z	32	35	-3	-164	67	True	2026-06-09T02:40:00Z	2026-06-09T02:40:00Z	False
SOL	2026-06-09T02:40:00Z	2026-06-09T02:49:53.939Z	2026-06-08T21:10:00Z	34	33	1	-252	67	True	2026-06-09T02:40:00Z	2026-06-09T02:40:00Z	False
BTC	2026-06-09T02:45:00Z	2026-06-09T02:54:59.515Z	2026-06-08T21:10:00Z	34	34	0	-140	68	True	2026-06-09T02:45:00Z	2026-06-09T02:45:00Z	False
ETH	2026-06-09T02:45:00Z	2026-06-09T02:54:59.515Z	2026-06-08T21:10:00Z	33	35	-2	-166	68	True	2026-06-09T02:45:00Z	2026-06-09T02:45:00Z	False
SOL	2026-06-09T02:45:00Z	2026-06-09T02:54:59.515Z	2026-06-08T21:10:00Z	35	33	2	-250	68	True	2026-06-09T02:45:00Z	2026-06-09T02:45:00Z	False
BTC	2026-06-09T02:50:00Z	2026-06-09T02:59:59.470Z	2026-06-08T21:10:00Z	35	34	1	-139	69	True	2026-06-09T02:50:00Z	2026-06-09T02:50:00Z	False
ETH	2026-06-09T02:50:00Z	2026-06-09T02:59:59.470Z	2026-06-08T21:10:00Z	34	35	-1	-167	69	True	2026-06-09T02:50:00Z	2026-06-09T02:50:00Z	False
SOL	2026-06-09T02:50:00Z	2026-06-09T02:59:59.470Z	2026-06-08T21:10:00Z	36	33	3	-247	69	True	2026-06-09T02:50:00Z	2026-06-09T02:50:00Z	False
BTC	2026-06-09T02:55:00Z	2026-06-09T03:04:57.035Z	2026-06-08T21:10:00Z	36	34	2	-137	70	True	2026-06-09T02:55:00Z	2026-06-09T02:55:00Z	False
ETH	2026-06-09T02:55:00Z	2026-06-09T03:04:57.035Z	2026-06-08T21:10:00Z	35	35	0	-167	70	True	2026-06-09T02:55:00Z	2026-06-09T02:55:00Z	False
SOL	2026-06-09T02:55:00Z	2026-06-09T03:04:57.035Z	2026-06-08T21:10:00Z	37	33	4	-243	70	True	2026-06-09T02:55:00Z	2026-06-09T02:55:00Z	False
BTC	2026-06-09T03:00:00Z	2026-06-09T03:09:56.414Z	2026-06-08T21:10:00Z	36	35	1	-136	71	True	2026-06-09T03:00:00Z	2026-06-09T03:00:00Z	False
ETH	2026-06-09T03:00:00Z	2026-06-09T03:09:56.414Z	2026-06-08T21:10:00Z	35	36	-1	-168	71	True	2026-06-09T03:00:00Z	2026-06-09T03:00:00Z	False
SOL	2026-06-09T03:00:00Z	2026-06-09T03:09:56.414Z	2026-06-08T21:10:00Z	37	34	3	-240	71	True	2026-06-09T03:00:00Z	2026-06-09T03:00:00Z	False
BTC	2026-06-09T03:05:00Z	2026-06-09T03:14:57.945Z	2026-06-08T21:10:00Z	36	36	0	-136	72	True	2026-06-09T03:05:00Z	2026-06-09T03:05:00Z	False
ETH	2026-06-09T03:05:00Z	2026-06-09T03:14:57.945Z	2026-06-08T21:10:00Z	35	37	-2	-170	72	True	2026-06-09T03:05:00Z	2026-06-09T03:05:00Z	False
SOL	2026-06-09T03:05:00Z	2026-06-09T03:14:57.945Z	2026-06-08T21:10:00Z	38	34	4	-236	72	True	2026-06-09T03:05:00Z	2026-06-09T03:05:00Z	False
BTC	2026-06-09T03:10:00Z	2026-06-09T03:19:59.262Z	2026-06-08T21:10:00Z	37	36	1	-135	73	True	2026-06-09T03:10:00Z	2026-06-09T03:10:00Z	False
ETH	2026-06-09T03:10:00Z	2026-06-09T03:19:59.262Z	2026-06-08T21:10:00Z	36	37	-1	-171	73	True	2026-06-09T03:10:00Z	2026-06-09T03:10:00Z	False
SOL	2026-06-09T03:10:00Z	2026-06-09T03:19:59.262Z	2026-06-08T21:10:00Z	39	34	5	-231	73	True	2026-06-09T03:10:00Z	2026-06-09T03:10:00Z	False
BTC	2026-06-09T03:15:00Z	2026-06-09T03:24:58.974Z	2026-06-08T21:10:00Z	37	37	0	-135	74	True	2026-06-09T03:15:00Z	2026-06-09T03:15:00Z	False
ETH	2026-06-09T03:15:00Z	2026-06-09T03:24:58.974Z	2026-06-08T21:10:00Z	37	37	0	-171	74	True	2026-06-09T03:15:00Z	2026-06-09T03:15:00Z	False
SOL	2026-06-09T03:15:00Z	2026-06-09T03:24:58.974Z	2026-06-08T21:10:00Z	40	34	6	-225	74	True	2026-06-09T03:15:00Z	2026-06-09T03:15:00Z	False
BTC	2026-06-09T03:20:00Z	2026-06-09T03:29:58.974Z	2026-06-08T21:10:00Z	37	38	-1	-136	75	True	2026-06-09T03:20:00Z	2026-06-09T03:20:00Z	False
ETH	2026-06-09T03:20:00Z	2026-06-09T03:29:58.974Z	2026-06-08T21:10:00Z	37	38	-1	-172	75	True	2026-06-09T03:20:00Z	2026-06-09T03:20:00Z	False
SOL	2026-06-09T03:20:00Z	2026-06-09T03:29:58.974Z	2026-06-08T21:10:00Z	40	35	5	-220	75	True	2026-06-09T03:20:00Z	2026-06-09T03:20:00Z	False
BTC	2026-06-09T03:25:00Z	2026-06-09T03:34:40.107Z	2026-06-08T21:10:00Z	38	38	0	-136	76	True	2026-06-09T03:25:00Z	2026-06-09T03:25:00Z	False
ETH	2026-06-09T03:25:00Z	2026-06-09T03:34:40.107Z	2026-06-08T21:10:00Z	38	38	0	-172	76	True	2026-06-09T03:25:00Z	2026-06-09T03:25:00Z	False
SOL	2026-06-09T03:25:00Z	2026-06-09T03:34:40.107Z	2026-06-08T21:10:00Z	41	35	6	-214	76	True	2026-06-09T03:25:00Z	2026-06-09T03:25:00Z	False
BTC	2026-06-09T03:30:00Z	2026-06-09T03:39:58.978Z	2026-06-08T21:10:00Z	38	39	-1	-137	77	True	2026-06-09T03:30:00Z	2026-06-09T03:30:00Z	False
ETH	2026-06-09T03:30:00Z	2026-06-09T03:39:58.978Z	2026-06-08T21:10:00Z	38	39	-1	-173	77	True	2026-06-09T03:30:00Z	2026-06-09T03:30:00Z	False
